Row,min_med_conn_run,sec_med_conn_run,min_med_conn,sec_med_conn
sub00555,1,NaN,0.456,NaN
sub00557,1,NaN,0.496,NaN
sub00558,1,4,0.435,0.436
sub00560,1,NaN,0.478,NaN
sub00564,4,2,0.409,0.416
sub00565,4,2,0.446,0.453
sub00567,2,1,0.489,0.505
sub00571,1,2,0.412,0.416
sub00572,1,2,0.416,0.423
sub00573,1,NaN,0.538,NaN
sub00574,4,2,0.405,0.415
sub00575,3,2,0.446,0.485
sub00576,1,2,0.396,0.398
sub00577,2,3,0.415,0.42
sub00579,2,1,0.414,0.422
sub00583,3,NaN,0.521,NaN
sub00586,2,1,0.447,0.477
sub00589,2,1,0.409,0.41
sub00590,2,1,0.422,0.44
sub00592,1,NaN,0.478,NaN
sub00593,3,1,0.403,0.408
sub00594,3,1,0.476,0.482
sub00595,3,4,0.416,0.421
sub00597,2,1,0.431,0.438
sub00599,1,NaN,0.449,NaN
sub00601,3,1,0.426,0.475
sub00603,2,4,0.52,0.532
sub00605,2,NaN,0.523,NaN
sub00607,2,NaN,0.484,NaN
sub00608,2,NaN,0.444,NaN
sub00611,3,NaN,0.49,NaN
sub00612,4,1,0.426,0.442
sub00613,2,4,0.435,0.461
sub00614,3,2,0.436,0.449
sub00615,2,NaN,0.48,NaN
sub00616,1,2,0.415,0.451
sub00623,1,NaN,0.424,NaN
sub00624,3,2,0.424,0.432
sub00631,4,2,0.401,0.403
sub00632,1,NaN,0.509,NaN
sub00633,1,NaN,0.527,NaN
sub00635,1,4,0.444,0.459
sub00639,2,NaN,0.438,NaN
sub00640,1,NaN,0.403,NaN
sub00642,1,2,0.414,0.415
sub00645,1,3,0.425,0.428
sub00646,NaN,NaN,NaN,NaN
sub00652,3,1,0.395,0.431
sub00653,3,1,0.454,0.517
sub00654,2,NaN,0.428,NaN
sub00655,1,NaN,0.43,NaN
sub00657,4,1,0.451,0.467
sub00658,1,3,0.434,0.48
sub00659,1,2,0.504,0.505
sub00663,1,NaN,0.467,NaN
sub00665,1,3,0.4,0.421
sub00666,1,2,0.466,0.513
sub00667,2,1,0.465,0.489
sub00668,3,1,0.404,0.452
sub00670,1,NaN,0.448,NaN
sub00671,2,1,0.417,0.426
sub00673,1,2,0.423,0.443
sub00674,1,NaN,0.491,NaN
sub00676,4,NaN,0.434,NaN
sub00678,4,3,0.404,0.412
sub00679,NaN,NaN,NaN,NaN
sub00680,1,2,0.453,0.453
sub00682,1,NaN,0.434,NaN
sub00683,1,NaN,0.43,NaN
sub00685,1,2,0.445,0.466
sub00687,2,1,0.417,0.419
sub00689,1,NaN,0.522,NaN
sub00691,2,1,0.428,0.445
sub00692,1,NaN,0.516,NaN
sub00693,2,4,0.436,0.49
sub00694,1,2,0.414,0.416
sub00695,NaN,NaN,NaN,NaN
sub00704,1,2,0.416,0.421
sub00706,3,2,0.458,0.515
sub00709,1,2,0.416,0.416
sub00713,4,3,0.424,0.465
sub00718,1,2,0.413,0.45
sub00719,1,NaN,0.41,NaN
sub00723,1,NaN,0.405,NaN
sub00724,1,2,0.42,0.517
sub00725,NaN,NaN,NaN,NaN
sub00727,2,1,0.406,0.499
sub00728,2,1,0.446,0.448
sub00733,3,NaN,0.525,NaN
sub00738,1,4,0.483,0.514
sub00739,2,1,0.471,0.489
sub00740,NaN,NaN,NaN,NaN
sub00742,1,2,0.418,0.436
sub00743,1,2,0.498,0.505
sub00747,1,2,0.416,0.468
sub00748,2,1,0.423,0.431
sub00752,3,4,0.441,0.443
sub00753,NaN,NaN,NaN,NaN
sub00756,4,NaN,0.427,NaN
sub00757,2,1,0.419,0.467
sub00759,2,1,0.412,0.426
sub00760,3,2,0.429,0.447
sub00761,2,NaN,0.467,NaN
sub00762,2,1,0.438,0.464
sub00766,3,4,0.404,0.406
sub00767,2,NaN,0.508,NaN
sub00769,1,3,0.417,0.427
sub00772,1,NaN,0.489,NaN
sub00773,3,NaN,0.535,NaN
sub00777,2,1,0.417,0.421
sub00779,2,3,0.424,0.499
sub00780,NaN,NaN,NaN,NaN
sub00782,2,NaN,0.503,NaN
sub00783,1,2,0.438,0.503
sub00785,1,2,0.409,0.432
sub00786,4,1,0.424,0.471
sub00787,3,2,0.42,0.426
sub00789,4,3,0.41,0.422
sub00790,2,1,0.426,0.427
sub00799,1,2,0.44,0.457
sub00800,2,NaN,0.405,NaN
sub00801,2,1,0.411,0.418
sub00802,1,2,0.48,0.522
sub00805,1,2,0.433,0.446
sub00807,2,1,0.402,0.41
sub00809,4,1,0.413,0.426
sub00812,1,3,0.408,0.468
sub00815,1,3,0.428,0.434
sub00818,2,3,0.411,0.423
sub00821,2,3,0.418,0.431
sub00823,3,NaN,0.502,NaN
sub00830,1,2,0.465,0.508
sub00833,1,NaN,0.414,NaN
sub00836,3,1,0.41,0.489
sub00837,2,1,0.415,0.426
sub00840,3,NaN,0.507,NaN
sub00843,1,2,0.436,0.48
sub00844,4,3,0.408,0.413
sub00846,NaN,NaN,NaN,NaN
sub00850,1,NaN,0.414,NaN
sub00852,1,NaN,0.478,NaN
sub00853,3,2,0.447,0.46
sub00854,1,2,0.402,0.416
sub00858,2,NaN,0.427,NaN
sub00860,1,2,0.474,0.544
sub00861,2,1,0.414,0.424
sub00865,1,2,0.412,0.415
sub00866,1,NaN,0.459,NaN
sub00867,1,2,0.437,0.441
sub00868,1,3,0.418,0.427
sub00869,3,4,0.493,0.504
sub00871,2,4,0.474,0.484
sub00873,NaN,NaN,NaN,NaN
sub00874,1,2,0.419,0.448
sub00876,2,1,0.402,0.404
sub00877,1,2,0.414,0.421
sub00878,2,4,0.425,0.426
sub00880,NaN,NaN,NaN,NaN
sub00884,1,2,0.428,0.428
sub00886,NaN,NaN,NaN,NaN
sub00889,1,NaN,0.468,NaN
sub00891,2,3,0.419,0.421
sub00894,4,2,0.458,0.489
sub00898,2,1,0.429,0.456
sub00899,NaN,NaN,NaN,NaN
sub00900,1,2,0.439,0.443
sub00901,1,3,0.416,0.46
sub00902,2,NaN,0.427,NaN
sub00903,1,2,0.431,0.478
sub00905,2,NaN,0.464,NaN
sub00906,1,NaN,0.462,NaN
sub00910,1,NaN,0.481,NaN
sub00912,2,NaN,0.434,NaN
sub00913,2,3,0.441,0.471
sub00915,3,1,0.467,0.492
sub00918,1,2,0.401,0.41
sub00920,1,NaN,0.43,NaN
sub00921,1,2,0.447,0.455
sub00923,1,NaN,0.433,NaN
sub00924,3,2,0.412,0.434
sub00925,1,2,0.473,0.523
sub00926,1,NaN,0.474,NaN
sub00927,1,NaN,0.434,NaN
sub00928,2,1,0.426,0.48
sub00931,3,2,0.404,0.454
sub00933,2,NaN,0.447,NaN
sub00935,2,NaN,0.404,NaN
sub00938,3,NaN,0.458,NaN
sub00939,2,1,0.492,0.496
sub00940,1,NaN,0.456,NaN
sub00941,4,2,0.425,0.438
sub00948,1,NaN,0.481,NaN
sub00949,2,1,0.411,0.422
sub00950,3,2,0.408,0.417
sub00952,2,1,0.473,0.49
sub00953,1,NaN,0.441,NaN
sub00954,2,NaN,0.511,NaN
sub00959,2,1,0.454,0.486
sub00960,1,NaN,0.471,NaN
sub00966,1,3,0.427,0.428
sub00967,2,1,0.419,0.422
sub00969,2,1,0.411,0.413
sub00970,1,2,0.429,0.444
sub00971,4,1,0.435,0.443
sub00972,2,3,0.421,0.468
sub00974,1,NaN,0.454,NaN
sub00975,1,2,0.428,0.458
sub00976,4,3,0.428,0.432
sub00977,1,3,0.409,0.424
sub00980,4,2,0.435,0.507
sub00986,1,4,0.428,0.433
sub00988,2,NaN,0.442,NaN
sub00989,2,1,0.418,0.456
sub00996,1,NaN,0.465,NaN
sub00997,1,3,0.406,0.411
sub01001,1,NaN,0.509,NaN
sub01003,2,NaN,0.434,NaN
sub01005,4,1,0.49,0.525
sub01006,1,NaN,0.481,NaN
sub01008,1,2,0.413,0.437
sub01009,4,3,0.406,0.413
sub01012,4,1,0.442,0.447
sub01017,1,2,0.415,0.489
sub01019,2,3,0.428,0.468
sub01022,2,3,0.43,0.432
sub01024,1,NaN,0.406,NaN
sub01025,NaN,NaN,NaN,NaN
sub01027,4,NaN,0.494,NaN
sub01029,1,NaN,0.415,NaN
sub01030,2,1,0.43,0.461
sub01036,1,2,0.412,0.438
sub01038,2,3,0.438,0.443
sub01039,2,1,0.417,0.437
sub01041,3,2,0.429,0.43
sub01042,2,NaN,0.533,NaN
sub01044,1,2,0.417,0.445
sub01045,2,1,0.432,0.435
sub01046,3,4,0.412,0.413
sub01047,1,2,0.46,0.461
sub01048,4,NaN,0.434,NaN
sub01049,1,NaN,0.402,NaN
sub01052,1,2,0.41,0.416
sub01054,3,2,0.431,0.445
sub01055,1,2,0.407,0.421
sub01056,2,3,0.473,0.499
sub01057,1,3,0.407,0.412
sub01059,3,4,0.392,0.396
sub01060,2,NaN,0.49,NaN
sub01062,2,1,0.419,0.448
sub01063,1,2,0.41,0.415
sub01064,1,4,0.428,0.436
sub01066,3,1,0.429,0.435
sub01068,1,2,0.405,0.414
sub01069,2,1,0.455,0.465
sub01070,4,3,0.462,0.514
sub01074,1,2,0.455,0.501
sub01076,2,3,0.422,0.431
sub01078,1,2,0.414,0.424
sub01080,1,2,0.439,0.463
sub01081,2,1,0.451,0.47
sub01082,1,4,0.425,0.491
sub01083,2,1,0.433,0.446
sub01086,4,3,0.451,0.504
sub01088,1,2,0.43,0.437
sub01090,1,2,0.451,0.454
sub01092,3,1,0.454,0.468
sub01093,1,NaN,0.422,NaN
sub01094,4,3,0.46,0.518
sub01097,NaN,NaN,NaN,NaN
sub01101,2,4,0.434,0.446
sub01102,1,2,0.481,0.482
sub01103,3,1,0.423,0.457
sub01104,4,1,0.459,0.471
sub01106,NaN,NaN,NaN,NaN
sub01109,4,2,0.433,0.441
sub01115,2,1,0.472,0.483
sub01118,1,2,0.416,0.419
sub01121,2,1,0.42,0.447
sub01123,1,NaN,0.418,NaN
sub01127,1,3,0.433,0.472
sub01131,4,2,0.432,0.434
sub01135,1,3,0.419,0.423
sub01138,4,3,0.464,0.466
sub01140,3,2,0.405,0.406
sub01141,2,3,0.447,0.447
sub01142,4,1,0.406,0.436
sub01144,1,2,0.408,0.459
sub01147,1,2,0.475,0.484
sub01150,1,3,0.425,0.442
sub01153,1,2,0.417,0.422
sub01155,1,NaN,0.423,NaN
sub01157,1,NaN,0.424,NaN
sub01158,2,4,0.441,0.443
sub01159,2,3,0.403,0.405
sub01160,1,NaN,0.463,NaN
sub01162,NaN,NaN,NaN,NaN
sub01163,4,2,0.445,0.495
sub01164,1,NaN,0.457,NaN
sub01168,2,1,0.455,0.471
sub01169,4,2,0.428,0.445
sub01172,1,3,0.422,0.456
sub01173,1,2,0.436,0.438
