Row,min_med_conn_run,sec_med_conn_run,min_med_conn,sec_med_conn
sub03273,1,NaN,0.428,NaN
sub03274,1,2,0.418,0.434
sub03276,1,4,0.452,0.499
sub03278,2,3,0.415,0.424
sub03279,3,4,0.397,0.425
sub03280,1,2,0.403,0.438
sub03281,2,1,0.41,0.425
sub03282,4,3,0.462,0.521
sub03285,1,2,0.453,0.477
sub03287,3,1,0.417,0.434
sub03288,1,2,0.415,0.471
sub03290,1,2,0.441,0.47
sub03291,2,4,0.402,0.402
sub03293,1,2,0.426,0.446
sub03295,1,2,0.436,0.436
sub03298,3,1,0.42,0.423
sub03299,2,1,0.486,0.489
sub03300,3,1,0.423,0.438
sub03314,1,2,0.399,0.404
sub03316,2,4,0.407,0.428
sub03318,2,1,0.416,0.443
sub03323,1,2,0.426,0.427
sub03325,1,NaN,0.524,NaN
sub03328,2,1,0.442,0.448
sub03330,1,NaN,0.453,NaN
sub03331,1,2,0.408,0.424
sub03334,1,NaN,0.414,NaN
sub03336,2,1,0.442,0.467
sub03341,4,2,0.407,0.412
sub03342,2,NaN,0.435,NaN
sub03343,2,1,0.442,0.48
sub03344,3,4,0.459,0.482
sub03345,2,NaN,0.42,NaN
sub03347,4,3,0.425,0.438
sub03348,4,3,0.402,0.462
sub03351,3,1,0.402,0.419
sub03356,4,1,0.436,0.45
sub03357,1,2,0.448,0.503
sub03358,2,1,0.442,0.447
sub03365,NaN,NaN,NaN,NaN
sub03368,NaN,NaN,NaN,NaN
sub03370,2,4,0.411,0.412
sub03372,3,4,0.426,0.488
sub03373,2,NaN,0.46,NaN
sub03376,1,2,0.409,0.452
sub03378,NaN,NaN,NaN,NaN
sub03381,2,1,0.416,0.426
sub03383,3,NaN,0.407,NaN
sub03387,1,2,0.416,0.421
sub03388,3,4,0.4,0.407
sub03390,1,2,0.424,0.428
sub03391,4,3,0.402,0.411
sub03392,2,1,0.455,0.459
sub03394,2,3,0.431,0.434
sub03396,3,4,0.437,0.454
sub03398,3,4,0.409,0.43
sub03402,3,1,0.475,0.484
sub03403,1,3,0.438,0.477
sub03404,1,NaN,0.528,NaN
sub03406,1,3,0.456,0.471
sub03407,4,3,0.43,0.457
sub03409,1,3,0.413,0.414
sub03411,2,4,0.45,0.452
sub03412,1,2,0.473,0.48
sub03415,1,2,0.417,0.426
sub03416,2,NaN,0.46,NaN
sub03418,2,1,0.4,0.427
sub03419,4,NaN,0.484,NaN
sub03421,1,4,0.448,0.491
sub03424,1,NaN,0.413,NaN
sub03427,1,2,0.512,0.526
sub03428,1,2,0.461,0.496
sub03429,4,2,0.448,0.493
sub03430,1,3,0.429,0.44
sub03434,1,2,0.443,0.504
sub03436,1,2,0.433,0.477
sub03437,4,1,0.432,0.462
sub03440,NaN,NaN,NaN,NaN
sub03441,3,2,0.398,0.416
sub03443,4,2,0.51,0.527
sub03444,1,3,0.41,0.447
sub03445,1,2,0.433,0.47
sub03446,2,1,0.413,0.424
sub03448,2,NaN,0.47,NaN
sub03450,3,1,0.424,0.435
sub03451,2,NaN,0.491,NaN
sub03452,1,2,0.423,0.477
sub03454,3,1,0.426,0.441
sub03457,1,4,0.405,0.429
sub03458,2,3,0.412,0.435
sub03459,3,4,0.448,0.473
sub03460,2,1,0.424,0.454
sub03462,2,1,0.423,0.436
sub03463,4,1,0.424,0.433
sub03467,1,2,0.398,0.4
sub03468,2,1,0.403,0.412
sub03469,3,4,0.49,0.506
sub03471,3,4,0.423,0.464
sub03474,1,3,0.408,0.418
sub03475,2,1,0.425,0.43
sub03477,NaN,NaN,NaN,NaN
sub03478,2,4,0.404,0.42
sub03479,3,2,0.466,0.498
sub03486,1,NaN,0.517,NaN
sub03492,1,2,0.422,0.478
sub03494,1,3,0.422,0.484
sub03495,3,NaN,0.416,NaN
sub03501,2,1,0.419,0.434
sub03505,2,3,0.417,0.418
sub03506,1,3,0.484,0.492
sub03508,2,NaN,0.44,NaN
sub03509,2,1,0.42,0.434
sub03510,2,1,0.514,0.516
sub03511,2,3,0.421,0.428
sub03512,4,NaN,0.494,NaN
sub03517,2,NaN,0.503,NaN
sub03519,1,2,0.407,0.413
sub03520,2,1,0.399,0.429
sub03523,3,NaN,0.463,NaN
sub03524,2,1,0.423,0.433
sub03525,1,3,0.41,0.413
sub03527,1,NaN,0.417,NaN
sub03528,1,2,0.456,0.475
sub03530,2,1,0.449,0.479
sub03533,1,4,0.423,0.496
sub03535,1,2,0.41,0.419
sub03538,3,4,0.451,0.522
sub03540,2,1,0.421,0.538
sub03542,1,2,0.431,0.478
sub03543,1,2,0.479,0.493
sub03546,3,1,0.437,0.44
sub03547,1,2,0.412,0.436
sub03551,1,2,0.456,0.499
sub03553,4,NaN,0.456,NaN
sub03554,4,1,0.443,0.472
sub03555,1,NaN,0.443,NaN
sub03556,3,2,0.412,0.421
sub03557,2,1,0.422,0.448
sub03559,NaN,NaN,NaN,NaN
sub03562,1,NaN,0.432,NaN
sub03564,3,1,0.42,0.427
sub03565,1,NaN,0.404,NaN
sub03568,1,NaN,0.464,NaN
sub03571,1,4,0.425,0.427
sub03573,2,NaN,0.492,NaN
sub03576,1,NaN,0.42,NaN
sub03577,2,1,0.413,0.434
sub03583,1,NaN,0.462,NaN
sub03584,2,NaN,0.477,NaN
sub03585,4,NaN,0.433,NaN
sub03586,1,2,0.41,0.414
sub03587,2,NaN,0.487,NaN
sub03588,3,1,0.417,0.433
sub03589,1,2,0.419,0.45
sub03590,3,1,0.415,0.418
sub03593,1,2,0.43,0.45
sub03594,1,2,0.416,0.436
sub03597,2,NaN,0.41,NaN
sub03598,1,NaN,0.473,NaN
sub03599,4,3,0.444,0.476
sub03601,2,1,0.434,0.442
sub03604,1,3,0.449,0.456
sub03605,4,3,0.401,0.507
sub03606,1,2,0.426,0.484
sub03609,NaN,NaN,NaN,NaN
sub03610,1,NaN,0.441,NaN
sub03611,2,NaN,0.414,NaN
sub03612,1,2,0.416,0.421
sub03614,1,3,0.414,0.442
sub03616,2,3,0.443,0.443
sub03617,2,3,0.399,0.4
sub03619,1,NaN,0.451,NaN
sub03622,1,2,0.443,0.528
sub03625,1,2,0.452,0.452
sub03626,1,NaN,0.482,NaN
sub03631,2,1,0.45,0.466
sub03632,1,2,0.419,0.422
sub03633,2,NaN,0.529,NaN
sub03634,1,2,0.442,0.443
sub03635,2,NaN,0.419,NaN
sub03636,3,2,0.404,0.418
sub03637,1,2,0.444,0.456
sub03642,1,NaN,0.444,NaN
sub03643,1,2,0.445,0.456
sub03647,1,2,0.441,0.441
sub03648,4,2,0.458,0.526
sub03650,2,3,0.413,0.422
sub03651,2,1,0.411,0.425
sub03654,1,NaN,0.541,NaN
sub03655,2,NaN,0.494,NaN
sub03658,1,NaN,0.455,NaN
sub03659,1,4,0.412,0.45
sub03660,3,4,0.407,0.408
sub03662,1,2,0.459,0.513
sub03663,2,1,0.41,0.418
sub03667,1,4,0.488,0.493
sub03668,2,3,0.423,0.438
sub03669,1,2,0.497,0.498
sub03674,2,3,0.42,0.42
sub03677,3,1,0.483,0.485
sub03679,2,NaN,0.523,NaN
sub03680,2,NaN,0.463,NaN
sub03681,1,NaN,0.431,NaN
sub03683,1,2,0.411,0.447
sub03684,4,3,0.399,0.432
sub03689,1,NaN,0.451,NaN
sub03691,1,NaN,0.535,NaN
sub03693,2,NaN,0.499,NaN
sub03695,2,4,0.412,0.422
sub03697,1,2,0.488,0.531
sub03698,2,1,0.485,0.528
sub03703,3,NaN,0.503,NaN
sub03704,NaN,NaN,NaN,NaN
sub03706,3,2,0.43,0.44
sub03707,2,1,0.409,0.413
sub03709,2,4,0.425,0.445
sub03714,1,2,0.454,0.536
sub03718,2,NaN,0.523,NaN
sub03720,NaN,NaN,NaN,NaN
sub03722,2,1,0.455,0.461
sub03723,3,1,0.411,0.437
sub03725,3,4,0.415,0.417
sub03727,2,1,0.479,0.48
sub03728,1,2,0.422,0.481
sub03729,3,4,0.408,0.431
sub03736,2,1,0.459,0.484
sub03737,1,3,0.453,0.455
sub03743,1,NaN,0.417,NaN
sub03752,4,3,0.461,0.53
sub03755,1,2,0.435,0.455
sub03756,1,2,0.448,0.464
sub03757,1,2,0.408,0.438
sub03759,2,3,0.488,0.492
sub03760,3,NaN,0.424,NaN
sub03761,1,NaN,0.484,NaN
sub03763,2,1,0.436,0.445
sub03765,1,4,0.434,0.466
sub03769,4,2,0.405,0.453
sub03771,2,NaN,0.535,NaN
sub03773,1,2,0.428,0.444
sub03777,1,3,0.439,0.504
sub03780,2,1,0.402,0.41
sub03781,1,NaN,0.429,NaN
sub03783,2,4,0.401,0.413
sub03785,3,NaN,0.491,NaN
sub03786,2,1,0.431,0.446
sub03787,1,NaN,0.472,NaN
sub03796,3,1,0.443,0.473
sub03798,2,NaN,0.496,NaN
sub03799,2,1,0.411,0.414
sub03801,2,1,0.429,0.458
sub03802,3,4,0.421,0.451
sub03804,3,4,0.494,0.531
sub03806,2,1,0.446,0.449
sub03807,2,1,0.462,0.464
sub03808,1,3,0.439,0.452
sub03809,1,NaN,0.451,NaN
sub03810,1,2,0.448,0.481
sub03811,NaN,NaN,NaN,NaN
sub03818,1,NaN,0.442,NaN
sub03819,1,2,0.46,0.462
sub03824,2,1,0.404,0.415
sub03825,NaN,NaN,NaN,NaN
sub03826,1,2,0.405,0.424
sub03828,1,2,0.432,0.44
sub03831,2,1,0.415,0.418
sub03832,1,2,0.413,0.418
sub03833,1,2,0.435,0.454
sub03834,1,2,0.418,0.425
sub03840,3,1,0.408,0.422
sub03841,4,2,0.415,0.417
sub03843,1,4,0.417,0.421
sub03844,4,NaN,0.423,NaN
sub03846,2,1,0.41,0.426
sub03850,1,NaN,0.487,NaN
sub03851,2,3,0.455,0.455
sub03852,1,NaN,0.442,NaN
sub03855,1,NaN,0.468,NaN
sub03861,2,NaN,0.426,NaN
sub03863,4,3,0.406,0.449
sub03866,1,3,0.412,0.414
sub03869,3,NaN,0.407,NaN
sub03873,1,2,0.41,0.416
sub03875,1,3,0.4,0.401
sub03876,1,2,0.397,0.408
sub03878,1,2,0.472,0.501
sub03882,1,NaN,0.512,NaN
sub03887,3,2,0.435,0.484
sub03888,4,1,0.411,0.443
sub03889,1,2,0.446,0.475
sub03891,1,NaN,0.432,NaN
sub03893,2,NaN,0.506,NaN
sub03894,1,NaN,0.401,NaN
sub03897,2,3,0.436,0.44
sub03898,1,NaN,0.429,NaN
sub03906,1,NaN,0.494,NaN
sub03908,3,4,0.45,0.485
sub03909,2,3,0.393,0.419
sub03910,1,2,0.418,0.452
sub03911,2,1,0.409,0.422
sub03913,3,2,0.417,0.465
sub03914,2,1,0.402,0.411
sub03915,2,1,0.461,0.468
sub03916,3,1,0.476,0.478
sub03921,1,2,0.4,0.4
sub03922,NaN,NaN,NaN,NaN
sub03923,1,2,0.435,0.438
sub03929,1,2,0.458,0.461
sub03932,2,NaN,0.419,NaN
sub03938,2,1,0.43,0.456
sub03939,2,4,0.411,0.414
sub03944,1,2,0.414,0.42
sub03949,4,1,0.417,0.422
sub03950,4,3,0.415,0.418
sub03951,1,2,0.41,0.413
sub03952,1,2,0.42,0.445
sub03953,2,1,0.433,0.457
sub03957,4,3,0.483,0.518
sub03958,2,4,0.447,0.521
sub03959,NaN,NaN,NaN,NaN
sub03960,2,1,0.404,0.411
sub03963,4,1,0.449,0.458
sub03964,2,1,0.448,0.523
sub03965,3,4,0.423,0.447
sub03966,1,NaN,0.484,NaN
sub03968,4,NaN,0.439,NaN
sub03972,1,3,0.483,0.509
sub03974,1,2,0.411,0.432
sub03977,2,1,0.428,0.472
sub03979,4,2,0.407,0.421
sub03981,3,1,0.482,0.513
sub03982,4,2,0.457,0.516
sub03984,1,2,0.413,0.417
sub03985,2,NaN,0.412,NaN
sub03987,2,1,0.418,0.434
sub03988,1,2,0.411,0.472
sub03990,2,3,0.414,0.416
sub03994,NaN,NaN,NaN,NaN
sub03995,2,4,0.407,0.412
sub03996,1,4,0.431,0.439
sub04003,NaN,NaN,NaN,NaN
sub04004,2,4,0.404,0.417
sub04005,4,1,0.427,0.429
sub04007,NaN,NaN,NaN,NaN
sub04010,1,NaN,0.491,NaN
sub04011,4,3,0.41,0.417
sub04012,1,NaN,0.526,NaN
sub04015,2,4,0.416,0.42
sub04018,3,1,0.522,0.526
sub04020,1,4,0.51,0.512
sub04025,1,3,0.444,0.461
sub04026,2,3,0.467,0.521
sub04033,2,4,0.411,0.416
sub04035,2,3,0.477,0.481
sub04036,2,1,0.444,0.463
sub04037,3,NaN,0.492,NaN
sub04039,2,1,0.405,0.408
sub04042,2,1,0.416,0.43
sub04043,2,NaN,0.524,NaN
sub04044,1,NaN,0.412,NaN
sub04045,1,4,0.412,0.413
sub04046,1,NaN,0.424,NaN
sub04047,1,NaN,0.471,NaN
sub04049,2,3,0.426,0.429
sub04051,NaN,NaN,NaN,NaN
sub04053,2,1,0.45,0.482
sub04054,1,4,0.415,0.46
sub04056,1,NaN,0.406,NaN
sub04057,3,1,0.404,0.418
sub04058,1,NaN,0.429,NaN
sub04060,NaN,NaN,NaN,NaN
sub04061,4,1,0.422,0.43
sub04063,1,2,0.403,0.434
sub04065,3,NaN,0.487,NaN
sub04069,1,NaN,0.457,NaN
sub04072,2,NaN,0.448,NaN
sub04076,3,NaN,0.502,NaN
sub04078,4,NaN,0.534,NaN
sub04079,NaN,NaN,NaN,NaN
sub04081,1,2,0.415,0.449
sub04084,2,3,0.408,0.409
sub04086,2,3,0.484,0.5
sub04088,2,4,0.423,0.468
sub04090,2,1,0.44,0.488
sub04091,2,3,0.441,0.478
sub04092,1,NaN,0.452,NaN
sub04093,4,3,0.453,0.486
sub04097,2,1,0.412,0.415
sub04101,1,NaN,0.459,NaN
sub04102,3,2,0.428,0.436
sub04103,1,2,0.41,0.414
sub04109,NaN,NaN,NaN,NaN
sub04110,1,3,0.415,0.421
sub04111,2,3,0.434,0.46
sub04116,NaN,NaN,NaN,NaN
sub04117,2,1,0.403,0.452
sub04119,1,NaN,0.448,NaN
sub04120,2,1,0.425,0.436
sub04121,1,2,0.431,0.437
sub04123,1,3,0.423,0.442
sub04126,3,NaN,0.459,NaN
sub04128,2,1,0.42,0.447
sub04129,1,2,0.431,0.437
sub04133,1,2,0.426,0.474
sub04141,1,NaN,0.401,NaN
sub04147,1,2,0.425,0.526
sub04150,3,1,0.407,0.417
sub04151,2,1,0.445,0.453
sub04152,1,3,0.443,0.469
sub04153,3,1,0.418,0.436
sub04154,1,NaN,0.427,NaN
sub04155,2,NaN,0.43,NaN
sub04156,1,NaN,0.5,NaN
sub04160,1,NaN,0.52,NaN
sub04162,2,1,0.414,0.423
sub04164,1,2,0.421,0.428
sub04165,3,1,0.428,0.447
sub04166,3,1,0.424,0.428
sub04167,2,NaN,0.515,NaN
sub04170,4,1,0.407,0.408
sub04174,2,3,0.422,0.453
sub04175,2,3,0.405,0.427
sub04178,1,2,0.396,0.403
sub04179,2,3,0.397,0.407
sub04182,4,NaN,0.456,NaN
sub04184,1,2,0.414,0.419
sub04186,1,3,0.405,0.406
sub04187,2,1,0.401,0.418
sub04189,3,4,0.435,0.443
sub04190,2,4,0.437,0.441
sub04192,1,2,0.397,0.398
sub04193,3,1,0.446,0.451
sub04195,1,2,0.424,0.454
sub04196,4,2,0.408,0.41
sub04198,1,2,0.44,0.459
sub04199,4,1,0.415,0.425
sub04200,1,NaN,0.432,NaN
sub04201,4,2,0.395,0.4
sub04202,NaN,NaN,NaN,NaN
sub04204,1,2,0.414,0.425
sub04205,3,2,0.453,0.468
sub04206,3,1,0.402,0.403
sub04207,2,4,0.404,0.404
sub04208,3,2,0.427,0.429
sub04211,NaN,NaN,NaN,NaN
sub04212,4,1,0.42,0.428
sub04214,1,2,0.427,0.428
sub04217,1,2,0.43,0.466
sub04218,2,1,0.427,0.527
sub04221,1,2,0.429,0.433
sub04222,2,3,0.406,0.406
sub04224,2,3,0.421,0.422
sub04225,1,2,0.409,0.416
sub04227,2,3,0.426,0.491
sub04232,4,3,0.414,0.419
sub04233,NaN,NaN,NaN,NaN
sub04236,1,2,0.412,0.455
sub04237,1,2,0.432,0.442
sub04239,1,NaN,0.517,NaN
sub04240,2,NaN,0.531,NaN
sub04241,2,1,0.406,0.419
sub04243,2,4,0.402,0.405
sub04245,4,NaN,0.445,NaN
sub04246,2,1,0.456,0.461
sub04247,2,NaN,0.496,NaN
sub04248,2,NaN,0.445,NaN
sub04250,3,NaN,0.455,NaN
sub04251,NaN,NaN,NaN,NaN
sub04252,2,4,0.426,0.437
sub04254,2,NaN,0.489,NaN
sub04255,1,3,0.423,0.434
sub04256,4,1,0.402,0.443
sub04258,2,1,0.412,0.487
sub04259,1,NaN,0.432,NaN
sub04261,1,2,0.437,0.44
sub04262,1,2,0.453,0.491
sub04267,1,NaN,0.538,NaN
sub04269,2,3,0.441,0.455
sub04272,2,NaN,0.453,NaN
sub04273,1,2,0.434,0.462
sub04274,2,NaN,0.455,NaN
sub04275,2,1,0.413,0.445
sub04276,1,2,0.428,0.467
sub04278,1,2,0.409,0.425
sub04281,NaN,NaN,NaN,NaN
sub04282,4,3,0.401,0.407
sub04284,1,NaN,0.499,NaN
sub04285,1,NaN,0.403,NaN
sub04289,2,NaN,0.536,NaN
sub04291,2,1,0.404,0.407
sub04293,4,2,0.478,0.518
sub04294,1,NaN,0.422,NaN
sub04296,3,2,0.444,0.45
sub04298,4,1,0.419,0.429
sub04301,2,NaN,0.431,NaN
sub04304,1,2,0.436,0.45
sub04306,1,NaN,0.42,NaN
sub04309,4,3,0.464,0.515
sub04310,4,2,0.407,0.415
sub04311,2,1,0.416,0.423
sub04312,1,NaN,0.442,NaN
sub04313,NaN,NaN,NaN,NaN
sub04315,3,1,0.49,0.523
sub04316,1,2,0.414,0.42
sub04317,3,4,0.408,0.412
sub04319,1,2,0.417,0.442
sub04322,3,4,0.433,0.455
sub04323,4,2,0.416,0.454
sub04324,1,NaN,0.463,NaN
sub04327,1,2,0.457,0.484
sub04328,1,2,0.458,0.489
sub04330,1,2,0.49,0.507
sub04331,3,1,0.481,0.486
sub04333,1,2,0.441,0.484
sub04334,1,NaN,0.429,NaN
sub04336,1,3,0.431,0.495
sub04337,1,2,0.446,0.46
sub04339,2,1,0.421,0.432
sub04342,1,2,0.411,0.418
sub04343,1,NaN,0.413,NaN
sub04345,1,2,0.475,0.483
sub04347,4,1,0.426,0.428
sub04349,2,3,0.42,0.43
sub04352,3,1,0.495,0.501
sub04353,4,3,0.412,0.422
sub04356,1,2,0.454,0.492
sub04359,3,NaN,0.417,NaN
sub04362,2,NaN,0.532,NaN
sub04366,1,2,0.433,0.517
sub04367,1,2,0.446,0.488
sub04373,2,4,0.398,0.402
sub04374,2,NaN,0.472,NaN
sub04375,2,1,0.417,0.418
sub04376,2,NaN,0.429,NaN
sub04378,1,NaN,0.493,NaN
sub04382,1,4,0.434,0.434
sub04383,2,1,0.403,0.406
sub04384,2,NaN,0.451,NaN
sub04386,2,1,0.414,0.425
sub04388,2,1,0.435,0.436
sub04390,2,NaN,0.479,NaN
sub04397,1,3,0.458,0.459
sub04398,1,2,0.412,0.419
sub04401,2,NaN,0.477,NaN
sub04407,1,NaN,0.429,NaN
sub04408,1,4,0.417,0.434
sub04411,2,1,0.426,0.429
sub04412,2,NaN,0.418,NaN
sub04422,1,2,0.416,0.427
sub04425,2,1,0.428,0.431
sub04426,4,3,0.428,0.429
sub04428,1,NaN,0.473,NaN
sub04429,3,NaN,0.398,NaN
sub04430,3,1,0.464,0.477
sub04431,2,1,0.412,0.458
sub04432,2,NaN,0.436,NaN
sub04436,2,1,0.406,0.425
sub04438,1,2,0.42,0.441
sub04440,1,2,0.431,0.437
sub04442,2,4,0.403,0.403
sub04443,2,1,0.442,0.452
sub04446,3,2,0.432,0.445
sub04451,2,NaN,0.457,NaN
sub04454,1,NaN,0.464,NaN
sub04456,4,3,0.417,0.484
sub04457,4,2,0.41,0.413
sub04458,2,1,0.434,0.451
sub04459,2,3,0.415,0.419
sub04463,4,NaN,0.496,NaN
sub04464,1,3,0.428,0.461
sub04465,2,4,0.413,0.414
sub04467,4,3,0.448,0.451
sub04468,3,2,0.451,0.472
sub04472,NaN,NaN,NaN,NaN
sub04481,2,3,0.419,0.42
sub04485,4,2,0.439,0.45
sub04488,2,1,0.407,0.414
sub04491,4,3,0.408,0.41
sub04494,1,3,0.441,0.452
sub04496,1,4,0.505,0.522
sub04497,3,2,0.397,0.402
sub04500,3,NaN,0.49,NaN
sub04502,NaN,NaN,NaN,NaN
sub04503,1,NaN,0.441,NaN
sub04505,3,1,0.406,0.41
sub04506,1,2,0.426,0.5
sub04508,4,3,0.422,0.441
sub04511,3,NaN,0.519,NaN
sub04512,1,NaN,0.449,NaN
sub04514,3,1,0.466,0.496
sub04516,2,1,0.428,0.437
sub04517,2,3,0.402,0.416
sub04520,1,2,0.437,0.479
sub04524,1,2,0.407,0.409
sub04525,2,NaN,0.444,NaN
sub04527,4,NaN,0.409,NaN
sub04528,2,1,0.408,0.418
sub04529,1,2,0.403,0.409
sub04530,1,3,0.412,0.438
sub04531,1,NaN,0.478,NaN
sub04532,2,3,0.416,0.452
sub04535,1,2,0.486,0.534
sub04536,4,2,0.409,0.416
sub04537,4,2,0.447,0.452
sub04538,4,2,0.415,0.421
sub04541,1,2,0.407,0.414
sub04542,4,1,0.416,0.432
sub04543,1,4,0.4,0.402
sub04544,1,2,0.403,0.495
sub04545,3,1,0.417,0.42
sub04546,2,1,0.425,0.45
sub04547,1,4,0.42,0.423
sub04548,3,2,0.402,0.417
sub04549,1,4,0.414,0.427
sub04550,NaN,NaN,NaN,NaN
sub04553,2,1,0.419,0.426
sub04554,1,3,0.408,0.419
sub04555,4,2,0.41,0.413
sub04556,2,1,0.418,0.434
sub04558,2,3,0.439,0.454
sub04560,2,1,0.409,0.414
sub04562,1,2,0.416,0.424
sub04563,2,1,0.465,0.471
sub04568,1,2,0.44,0.457
sub04572,NaN,NaN,NaN,NaN
sub04574,3,2,0.409,0.412
sub04575,2,3,0.417,0.418
sub04581,1,NaN,0.46,NaN
sub04584,2,1,0.438,0.446
sub04586,1,NaN,0.435,NaN
sub04587,1,NaN,0.389,NaN
sub04589,2,3,0.415,0.428
sub04591,3,1,0.418,0.422
sub04597,1,NaN,0.452,NaN
sub04599,1,2,0.432,0.432
sub04600,2,NaN,0.508,NaN
sub04602,1,2,0.397,0.405
sub04603,1,4,0.505,0.51
sub04604,2,1,0.394,0.403
sub04608,1,NaN,0.523,NaN
sub04612,1,2,0.443,0.459
sub04614,1,2,0.431,0.446
sub04617,1,2,0.417,0.431
sub04620,2,4,0.406,0.422
sub04621,2,4,0.447,0.461
sub04623,1,NaN,0.473,NaN
sub04624,4,1,0.432,0.441
sub04625,1,NaN,0.466,NaN
sub04627,1,NaN,0.421,NaN
sub04629,NaN,NaN,NaN,NaN
sub04633,2,4,0.424,0.427
sub04640,1,NaN,0.43,NaN
sub04642,4,1,0.418,0.429
sub04643,1,NaN,0.505,NaN
sub04644,1,3,0.496,0.527
sub04648,1,2,0.484,0.505
sub04649,1,3,0.415,0.421
sub04652,4,NaN,0.434,NaN
sub04655,2,1,0.4,0.414
sub04657,3,2,0.457,0.492
sub04658,4,3,0.411,0.429
sub04659,2,1,0.406,0.409
sub04661,3,2,0.399,0.408
sub04663,1,NaN,0.442,NaN
sub04668,1,2,0.426,0.517
sub04669,1,2,0.453,0.454
sub04671,4,1,0.445,0.446
sub04673,4,1,0.424,0.425
sub04676,1,2,0.42,0.448
sub04677,1,NaN,0.518,NaN
sub04678,2,1,0.412,0.435
sub04681,3,1,0.406,0.415
sub04682,1,4,0.417,0.451
sub04683,1,2,0.43,0.477
sub04685,NaN,NaN,NaN,NaN
sub04686,2,NaN,0.499,NaN
sub04688,4,1,0.45,0.478
sub04690,4,NaN,0.502,NaN
sub04692,1,2,0.407,0.424
sub04697,2,1,0.424,0.463
sub04699,1,4,0.453,0.457
sub04700,4,2,0.42,0.423
sub04701,2,1,0.427,0.431
sub04703,2,NaN,0.43,NaN
sub04704,3,NaN,0.446,NaN
sub04708,1,2,0.486,0.497
sub04709,1,NaN,0.432,NaN
sub04712,1,2,0.448,0.531
sub04713,1,4,0.397,0.418
sub04714,3,1,0.452,0.462
sub04715,3,NaN,0.409,NaN
sub04718,1,2,0.433,0.452
sub04719,1,NaN,0.45,NaN
sub04722,2,1,0.471,0.474
sub04723,1,4,0.419,0.419
sub04727,NaN,NaN,NaN,NaN
sub04729,3,NaN,0.474,NaN
sub04730,4,3,0.405,0.409
sub04732,2,4,0.398,0.419
sub04733,4,3,0.411,0.423
sub04734,2,1,0.479,0.482
sub04735,4,2,0.43,0.435
sub04736,2,1,0.428,0.429
sub04737,NaN,NaN,NaN,NaN
sub04738,1,3,0.46,0.496
sub04740,1,3,0.411,0.416
sub04741,1,NaN,0.435,NaN
sub04742,1,4,0.446,0.455
sub04745,2,1,0.43,0.436
sub04747,1,3,0.423,0.48
sub04748,1,4,0.438,0.439
sub04749,1,3,0.468,0.522
sub04754,2,NaN,0.407,NaN
sub04757,1,3,0.421,0.429
sub04759,1,2,0.43,0.438
sub04760,1,2,0.408,0.424
sub04761,1,4,0.441,0.465
sub04762,4,2,0.492,0.511
sub04767,4,1,0.401,0.411
sub04770,1,2,0.428,0.443
sub04772,2,1,0.426,0.428
sub04776,3,1,0.423,0.437
sub04777,NaN,NaN,NaN,NaN
sub04780,3,2,0.421,0.447
sub04781,1,2,0.411,0.419
sub04782,1,NaN,0.524,NaN
sub04783,2,NaN,0.451,NaN
sub04784,1,NaN,0.461,NaN
sub04787,2,NaN,0.444,NaN
sub04788,2,1,0.451,0.463
sub04789,4,1,0.401,0.42
sub04790,2,1,0.443,0.51
sub04793,1,4,0.409,0.415
sub04794,2,1,0.421,0.455
sub04799,NaN,NaN,NaN,NaN
sub04801,2,3,0.423,0.437
sub04804,1,2,0.459,0.488
sub04806,3,2,0.425,0.442
sub04807,NaN,NaN,NaN,NaN
sub04809,1,NaN,0.438,NaN
sub04814,2,3,0.42,0.427
sub04816,2,4,0.442,0.458
sub04817,1,NaN,0.466,NaN
sub04818,4,NaN,0.442,NaN
sub04819,1,2,0.439,0.465
sub04822,1,NaN,0.466,NaN
sub04823,NaN,NaN,NaN,NaN
sub04825,1,NaN,0.486,NaN
sub04826,4,1,0.444,0.446
sub04827,2,1,0.41,0.426
sub04829,2,3,0.441,0.456
sub04830,1,2,0.454,0.519
sub04831,1,NaN,0.434,NaN
sub04832,1,NaN,0.494,NaN
sub04834,1,NaN,0.5,NaN
sub04835,4,1,0.412,0.416
sub04837,4,NaN,0.434,NaN
sub04839,1,2,0.439,0.464
sub04840,4,1,0.416,0.423
sub04841,2,4,0.476,0.477
sub04845,2,3,0.429,0.437
sub04846,1,NaN,0.47,NaN
sub04847,NaN,NaN,NaN,NaN
sub04849,2,3,0.419,0.43
sub04850,2,1,0.452,0.456
sub04852,1,NaN,0.4,NaN
sub04855,1,NaN,0.49,NaN
sub04858,2,1,0.465,0.5
sub04861,1,NaN,0.482,NaN
sub04863,2,3,0.415,0.424
sub04864,2,1,0.488,0.506
sub04865,1,NaN,0.461,NaN
sub04868,1,4,0.454,0.461
sub04872,2,3,0.413,0.414
sub04873,3,1,0.419,0.435
sub04876,1,2,0.45,0.467
sub04878,1,NaN,0.451,NaN
sub04880,1,4,0.443,0.461
sub04882,1,NaN,0.451,NaN
sub04885,4,2,0.426,0.462
sub04886,1,2,0.422,0.432
sub04887,3,1,0.402,0.411
sub04888,1,NaN,0.444,NaN
sub04889,1,2,0.42,0.421
sub04890,3,NaN,0.45,NaN
sub04893,1,NaN,0.498,NaN
sub04894,2,1,0.429,0.459
sub04895,1,NaN,0.447,NaN
